id,smiles
68,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
69,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
70,NC(=O)N1c2ccccc2CC(=O)c2ccccc21
71,CN1C(=O)CC(C)(c2ccccc2)C1=O
72,Fc1ccc(C2CC[NH2+]CC2COc2ccc3c(c2)OCO3)cc1
73,C[NH+]1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
74,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
75,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
76,OCCN(CCO)c1nc([NH+]2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
77,COc1cc2[nH+]c(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
78,OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CCCCC1
79,COC(=O)C(c1ccccc1)C1CCCC[NH2+]1
80,COCCCCC(=NOCC[NH3+])c1ccc(C(F)(F)F)cc1
81,CN(C)S(=O)(=O)c1ccc2c(c1)C(=CCCN1CC[NH+](C)CC1)c1ccccc1S2
82,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21
83,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)[N-]S2(=O)=O
84,Cc1ccnc2c1[N-]C(=O)c1cccnc1N2C1CC1
85,CCOC(=O)C1=CC2(CC)CCC[NH+]3CCc4c(n1c1ccccc41)C32
86,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
87,CCCc1nn(C)c2c(=O)[n-]c(-c3cc(S(=O)(=O)N4CC[NH+](C)CC4)ccc3OCC)nc12
88,Clc1ccc(Cn2c(C[NH+]3CCCC3)nc3ccccc32)cc1
89,Cc1ccccc1C(OCC[NH+](C)C)c1ccccc1
90,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)[O-]
91,O=P1(N(CCCl)CCCl)NCCCO1
92,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C
93,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O
94,CNS(=O)(=O)Cc1ccc2[nH]cc(CC[NH+](C)C)c2c1
95,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O
96,Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CC3CCCC3C2)cc1
97,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-]
98,CC(=O)CC(c1ccccc1)c1c([O-])c2ccccc2oc1=O
99,COc1ccc2cc(C(C)C(=O)[O-])ccc2c1
100,CNNCc1ccc(C(=O)NC(C)C)cc1
101,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
102,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1
103,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
104,Clc1cccc(Cl)c1[NH+]=C1NCCN1
105,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
106,CNC(=NC#N)NCCSCc1nc[nH]c1C
107,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)[O-]
108,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
109,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)[O-]
